field_name,unit,stress_xx,stress_yy,stress_zz,stress_xy,stress_xz,stress_yz
shear_xy_xz_q0_0,Pa,3341375.224071488,-1204.829835960292,1641.9608614750166,312149568.29618,-490.1783865625563,344.7570134506579
shear_xy_xz_q0_1,Pa,3034306.66825571,150.90712295530375,-193.41984461714105,198612743.9544541,198481639.4291561,-940.767446935383
shear_xy_xz_q0_2,Pa,3363850.344652249,-162.20468356006813,492.1021538882808,286394791.07314265,118531152.9273602,1970.7918708195157
shear_xy_xz_q0_3,Pa,2902140.210725272,-801.3084320239468,237.1955142470751,101390776.67251378,244646851.4972395,668.8178866069156
shear_xy_xz_q1_0,Pa,2829722.201630219,-605.9950377090961,295.02189670716973,-16717.193825245136,260881666.13801143,801.6650037129832
shear_xy_xz_q1_1,Pa,2955272.8011235828,-864.7865353430695,328.19155434531046,-202326966.0667733,202087877.22072545,379.4555414524872
shear_xy_xz_q1_2,Pa,2899674.4845304247,335.2872377819771,-681.5160939090691,-105275734.86421873,253895517.01366672,-2300.218025075857
shear_xy_xz_q1_3,Pa,3032651.7722438024,106.22155422227354,-1548.9080597414925,-272581471.1292139,112824487.01785225,-430.7071908183515
shear_xy_xz_q2_0,Pa,3121822.034662362,808.3218985333475,705.6605485502234,-307433168.9996552,345.25255559227867,-363.3836016422727
shear_xy_xz_q2_1,Pa,2825732.4923918536,258.83109656217266,-978.0560570585768,-191825898.25423965,-191734228.1480708,-94.8884280766532
shear_xy_xz_q2_2,Pa,3049881.532326992,1179.8405742430464,589.8449329284515,-274375824.00422,-113561298.70873009,-492.75201328090816
shear_xy_xz_q2_3,Pa,2728091.9026715555,253.02399081700517,847.8187958586645,-98015428.2727305,-236768606.22513488,-1020.9793306286618
shear_xy_xz_q3_0,Pa,2679952.841597905,-157.90927817202848,-101.59878519605056,250950.03373774752,-252032313.02522945,-749.9315279699595
shear_xy_xz_q3_1,Pa,2947032.265252585,-755.1360718634819,-474.6445384368112,198467424.317307,-197909576.63353443,264.9998709986165
shear_xy_xz_q3_2,Pa,2754158.603995169,164.32788054765132,819.3713553775121,100725710.75548956,-242086135.0201997,758.590418559458
shear_xy_xz_q3_3,Pa,3059473.2249285905,-1206.7269047675795,1040.2218467643647,266903796.2053584,-110324657.5535871,110.33960959920196
shear_xy_yz_q0_0,Pa,-298.26811293799034,2682646.6653820397,0.2859699832392834,-2583.404003669143,-651.8705166603446,273711639.54200554
shear_xy_yz_q0_1,Pa,1707698.3473657127,1536777.3107073088,-651.6419789379493,226354965.82396755,-735.2290212517709,226016120.6298169
shear_xy_yz_q0_2,Pa,335106.8230931873,2630295.171934521,-1447.569732049011,114305454.90422702,-198.7164061969661,275587320.8330944
shear_xy_yz_q0_3,Pa,2890733.7348187706,352250.09510983207,816.5209091172057,288881523.7019757,-416.2664301226428,119454483.57866605
shear_xy_yz_q1_1,Pa,1495249.859218635,1818341.389313694,-475.2786033411936,207295535.94640628,293.2652996557863,-206990861.04035717
shear_xy_yz_q1_2,Pa,2825711.331653602,637879.7559154124,685.9337518684123,288133498.3050396,-146.32826413723166,-119168682.86734274
shear_xy_yz_q1_3,Pa,422238.65684380097,2727522.683443693,-223.61330433048795,106492672.04971802,507.964868664602,-256744081.63262728
shear_xy_yz_q2_0,Pa,-539.1960898809506,3163249.498277636,-0.9665029794098244,869.5471606008207,187.33109402731105,-278887160.6243748
shear_xy_yz_q2_1,Pa,1515796.1877326225,1840189.0151115404,195.11149171327247,-221318954.85699132,334.6619802479498,-221132841.4295999
shear_xy_yz_q2_2,Pa,316189.1221562196,3002131.3894337383,1105.8572123096076,-114415042.13873775,340.64613611215566,-275928770.6041464
shear_xy_yz_q2_3,Pa,2713962.0025389898,535403.8497180825,-303.5929552192714,-286912432.136089,38.75641215133805,-118763653.9256371
shear_xy_yz_q3_1,Pa,1338232.3019134796,1542944.1979938452,-321.91389189172946,-205345687.50349084,266.7125695046253,205151156.5253977
shear_xy_yz_q3_2,Pa,2661164.609651482,455011.2930984183,196.9719048064592,-285725738.1345603,663.6057459395156,118264109.6754798
shear_xy_yz_q3_3,Pa,364623.15369990736,2323114.9966052407,-836.051922738571,-104614275.39045636,-11.833187124909614,252284616.98193905
shear_xz_yz_q0_1,Pa,1448196.583151508,1218614.736984981,1359.8840393351848,1220166.0801569957,183425411.51497063,183424692.8635103
shear_xz_yz_q0_2,Pa,2399446.9375472297,349133.8285540302,1271.6879388199332,846063.9408493459,238286385.6807016,98700841.36349352
shear_xz_yz_q0_3,Pa,456629.6603307832,2145786.374903512,151.51151511080866,888420.889080598,101034554.55065642,243920148.8768333
shear_xz_yz_q1_1,Pa,1499246.946521596,1302989.3980781836,-618.9553241755267,-1304596.5409649943,-192223917.77868053,192224345.75166315
shear_xz_yz_q1_2,Pa,466128.3915447632,2335739.250042405,684.7575323448557,-966293.5799129178,-105916641.55862944,255705602.3048269
shear_xz_yz_q1_3,Pa,2395679.961788884,300799.861136411,-57.06991023097186,-726903.7764527127,-240824434.9419661,99752137.92649364
shear_xz_yz_q2_1,Pa,1441330.1996629436,1415989.6244778417,-318.2499453221836,1416557.5425316747,-182073985.81751972,-182074086.38868508
shear_xz_yz_q2_2,Pa,2278799.8742524027,428967.3804127291,451.6640861945737,1035091.5624006012,-230707954.92770308,-95560680.73739576
shear_xz_yz_q2_3,Pa,475016.8556453781,2595255.4461612087,-35.78151172373532,1076033.5437568645,-103884901.91759212,-250803387.6417621
shear_xz_yz_q3_1,Pa,1477141.0707342234,1604793.6755995443,163.785474819736,-1604627.9255273382,194883495.0511496,-194883000.7840517
shear_xz_yz_q3_2,Pa,450849.6182484521,2726340.501488436,-873.8277641875254,-1129514.1838460672,106886777.17279004,-258047480.85312572
shear_xz_yz_q3_3,Pa,2478784.7709196145,455643.11710964254,277.4179200854908,-1099931.416292795,248799368.5117064,-103056049.11065347
tensile_x_y_q0_0,Pa,541796879.4018137,1079.654172441334,102.28054025103216,235.6093638618684,-325.1790261494857,-567.8683563615848
tensile_x_y_q0_1,Pa,469083057.6037072,467370873.5592554,-33.846255472895564,-1752.5604544619744,-461.0931265911759,-506.9147026531874
tensile_x_y_q0_2,Pa,572350243.2655463,234847636.7726411,1847.921197920628,-1696.5480459012902,-767.669226774366,1326.0611231337189
tensile_x_y_q0_3,Pa,228758924.76587623,553088097.0720763,635.4330400971548,-98.96142418451836,-859.0832554445708,253.67997201687265
tensile_x_y_q1_0,Pa,658.637208685564,518324008.3001122,849.4578031357571,-227.77379326065991,-1351.8059598472553,89.70658426201979
