field_name,unit,stress_xx,stress_yy,stress_zz,stress_xy,stress_xz,stress_yz
shear_xy_xz_q0_0,Pa,3659217.7390626674,-2285.594668845685,-1273.7795008875792,276211763.99431884,-137.97881591650514,473.56477896634556
shear_xy_xz_q0_1,Pa,3621649.8999380646,-67.61547490014641,-2686.628235274601,197318286.10263562,197473625.10457805,239.39116541475153
shear_xy_xz_q1_0,Pa,4052444.279735963,2950.1011344670196,-1400.1063159908879,57440.61573687373,318265200.6054136,526.0115499882181
shear_xy_xz_q1_1,Pa,4032068.678385238,-214.29573044485474,-425.11832818298967,-221589167.61925447,221712054.7452814,247.6271246978559
shear_xy_yz_q0_0,Pa,-2433.2231523321157,4287113.101524246,-1061.0910561250826,1059.2917643569053,-326.4387242094889,334432982.3316545
shear_xy_yz_q0_1,Pa,2249646.351413933,1755673.3570144023,2143.976772442673,221737157.1120727,908.6639049642204,221863063.9298302
shear_xy_yz_q1_1,Pa,2216570.880667244,1716619.4143731445,1115.7203541506412,215169439.78457022,-1697.6813711184905,-215175218.55314347
shear_xz_yz_q0_1,Pa,2238815.910570641,2004038.2462260958,3282.931668339505,2004553.7304337341,232885468.57581666,232882464.65460014
shear_xz_yz_q1_1,Pa,2019154.8253530802,2013560.4917445425,-10.522618930782528,-2011407.079974828,-227137510.10490224,227136334.76184583
tensile_x_y_q0_0,Pa,504343937.71315,3380.2105629859966,-3990.070712884901,-2771.6809053385878,1498.0754098006028,1190.7833200880827
tensile_x_y_q1_0,Pa,-4606.338589766168,522505600.65451705,6837.025509748912,2164.6229313990816,572.5598268946846,2720.3389642005372
tensile_x_y_q1_1,Pa,-283731296.5995469,287532137.7666045,880.4839439563375,-3935.6057200640207,-1282.8287554931835,3490.1403173087374
tensile_x_z_q0_0,Pa,2965.071054667009,-1782.6034087844707,577139868.253579,-1106.8089605363853,2293.4267556630793,1081.7380553709647
tensile_x_z_q0_1,Pa,516874298.8894775,1506.859221476464,516149050.74135756,-1450.516769444025,-494.8781868934907,-2458.0292368267
tensile_x_z_q1_1,Pa,325408020.2330115,-2040.5020827738294,-321227733.0329332,273.20501467763427,798.2729942248803,936.3134772278344
tensile_y_z_q0_1,Pa,-236.1491718471009,503743472.4495621,503143405.30860114,3198.905857123158,-4550.117619977637,-3190.654542232441
tensile_y_z_q1_1,Pa,-2514.6997460770795,-322736128.28608483,326813981.35770416,-1769.3124218599442,-757.0357846114375,-116.55712057611913
