field_name,unit,stress_xx,stress_yy,stress_zz,stress_xy,stress_xz,stress_yz
shear_xy_xz_q0_0,Pa,3091984.2515103957,-1357.813414328103,-1515.5567148043924,311873073.20157295,-556.5015205336231,367.60332418671453
shear_xy_xz_q0_1,Pa,2738931.5937348995,141.32111916375325,1050.1795122063102,194821874.36313662,194820795.5030082,-1148.7351926566332
shear_xy_xz_q0_2,Pa,3016882.6941607553,1182.1796209922368,633.8124701211207,280035927.13300323,115993744.29124613,1214.5331563320258
shear_xy_xz_q0_3,Pa,2607921.6101853345,-371.70074611898224,-518.13121186922,98758385.58879891,238326663.27172893,373.74585279501514
shear_xy_xz_q1_0,Pa,2560964.4401018154,-741.3098245681614,175.90178077616673,106007.21741723524,254855413.27083072,-151.11088072132685
shear_xy_xz_q1_1,Pa,2753933.382168565,-491.77205890173195,1652.3818630819985,-199678463.10860234,199831683.2473951,105.82126750648865
shear_xy_xz_q1_2,Pa,2655747.9718382396,129.9354182176033,-834.706273541421,-102661052.18673724,248241451.4585355,-1615.2722255685712
shear_xy_xz_q1_3,Pa,2824713.30076646,914.4297183419968,-227.0084494991993,-267935036.29583663,111052047.58638285,-902.3488596214153
shear_xy_yz_q0_0,Pa,103.9852194076791,2690944.143294399,-688.3859760664308,-2204.7515034583957,-181.25476106805047,273867982.9689152
shear_xy_yz_q0_1,Pa,1544321.8581787716,1622776.4816890124,161.59698766515385,225282244.91680995,-693.6857896309214,225216232.2930464
shear_xy_yz_q0_2,Pa,307294.841373911,2642515.504847472,-944.5978070380313,113870899.95073317,-207.1196166278745,274860707.5405301
shear_xy_yz_q0_3,Pa,2684292.0820134995,429046.63867944526,948.874509371286,289987082.96137446,186.48350573405367,120053864.3670485
shear_xy_yz_q1_1,Pa,1331519.1517803033,1570157.5857556297,-442.45847995626434,205817622.02529222,-229.9367543930175,-205761867.8279629
shear_xy_yz_q1_2,Pa,2599659.0386511977,516988.90831395355,1273.1387504969812,287381136.9128576,-1712.9965234836884,-118991638.53274989
shear_xy_yz_q1_3,Pa,359530.0698768786,2355125.229524948,946.7440007375183,105303097.03396378,352.89406092719196,-254197044.51014805
shear_xz_yz_q0_1,Pa,1330389.5595231461,1210244.5841628453,-73.37742039829851,1210137.5201281433,181308168.4882522,181307794.88604212
shear_xz_yz_q0_2,Pa,2161182.5737860184,353933.57475823513,-342.7562648851921,854775.861073462,232738223.08465108,96403007.76326914
shear_xz_yz_q0_3,Pa,424219.3193080417,2146532.9472659715,-418.71381700372206,888901.07266025,100696153.91180229,243103552.5753105
shear_xz_yz_q1_1,Pa,1382386.3634971345,1332712.7271773412,-299.8663150601509,-1333994.4300002188,-191212156.11394855,191212808.54699874
shear_xz_yz_q1_2,Pa,428840.36857266625,2324317.6345307436,966.2240405087033,-961176.0390698564,-105437626.74699116,254550019.096725
shear_xz_yz_q1_3,Pa,2293739.9027182898,352635.4847486722,-128.2224932253095,-850235.6857082723,-244516314.96261257,101281857.63985781
tensile_x_y_q0_0,Pa,472406567.58476377,1963.5879018538658,-3237.5159436643107,-303.9252890290704,-2085.5389725652967,3507.458537466176
tensile_x_y_q0_1,Pa,439380019.18188775,439244742.6734408,1874.594560178966,3137.6106700691935,1406.4788301589344,437.2146378711527
tensile_x_y_q0_2,Pa,503348169.98674715,207383821.82842845,1252.9877796175924,-1561.6432334938404,-840.226018310083,-3010.1136112899035
tensile_x_y_q0_3,Pa,224953633.39323285,545758135.4715738,1186.38139384344,-182.6963062014495,-197.26692483747775,-15.691034634949332
tensile_x_y_q1_0,Pa,-1687.0473066371264,527790606.0593524,-1924.62523090444,-2243.1190911815866,-2234.972286906954,-1866.263317247479
tensile_x_y_q1_1,Pa,-308246157.4296016,311328414.1255913,-1437.1389757758877,835.4458350180935,257.91124671108355,-858.29256641544
tensile_x_y_q1_2,Pa,-178725065.84787846,435656664.8250526,1325.5340518463827,64.05313178246229,695.6634948607484,-80.05648878963211
