      increment, stress_xx[MPa], stress_yy[MPa], stress_zz[MPa], stress_yz[MPa], stress_xz[MPa], stress_xy[MPa],      strain_xx,      strain_yy,      strain_zz,      strain_yz,      strain_xz,      strain_xy,       Wp[J/m3]
              0,           0.00,           0.00,           0.00,          -0.00,           0.00,           0.00,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,         0.0000
              1,          53.35,          -0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.000473,      -0.000164,      -0.000144,      -0.000007,      -0.000001,      -0.000002,         0.0000
              2,         106.73,          -0.00,          -0.00,          -0.00,          -0.00,          -0.00,       0.000945,      -0.000328,      -0.000288,      -0.000014,      -0.000002,      -0.000005,         0.0004
              3,         160.15,           0.00,           0.01,           0.00,           0.00,           0.00,       0.001416,      -0.000491,      -0.000432,      -0.000021,      -0.000003,      -0.000007,         1.1764
              4,         213.59,          -0.00,          -0.00,          -0.00,          -0.00,          -0.00,       0.001888,      -0.000656,      -0.000576,      -0.000028,      -0.000005,      -0.000009,       352.3793
              5,         267.09,          -0.00,          -0.00,           0.00,           0.00,           0.00,       0.002398,      -0.000849,      -0.000732,      -0.000046,      -0.000004,      -0.000012,     14146.0645
              6,         320.68,           0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.003106,      -0.001172,      -0.000955,      -0.000100,      -0.000010,      -0.000015,     99912.5391
              7,         374.44,           0.00,          -0.01,          -0.00,           0.00,          -0.00,       0.004105,      -0.001677,      -0.001288,      -0.000218,      -0.000031,      -0.000003,    298834.9301
              8,         428.40,           0.00,          -0.00,           0.00,          -0.00,          -0.00,       0.005354,      -0.002338,      -0.001716,      -0.000396,      -0.000083,       0.000024,    608303.8432
              9,         482.67,           0.00,           0.00,          -0.00,          -0.00,           0.00,       0.007014,      -0.003255,      -0.002301,      -0.000642,      -0.000200,       0.000060,   1139760.3514
             10,         537.64,           0.00,          -0.00,          -0.00,          -0.00,           0.00,       0.009655,      -0.004790,      -0.003248,      -0.001084,      -0.000419,       0.000055,   2253033.2093
             11,         593.97,          -0.01,           0.00,          -0.00,          -0.00,           0.00,       0.014155,      -0.007502,      -0.004872,      -0.001830,      -0.000850,      -0.000204,   4546869.2841
             12,         653.10,           0.01,          -0.00,           0.00,          -0.00,          -0.00,       0.022210,      -0.012514,      -0.007736,      -0.003165,      -0.001380,      -0.000873,   9283668.4896
             13,         718.42,           0.00,           0.00,           0.00,          -0.01,           0.00,       0.037764,      -0.022462,      -0.013076,      -0.006251,      -0.001740,      -0.002566,  19649774.0961
             14,         803.20,           0.01,           0.01,           0.00,          -0.00,           0.00,       0.076112,      -0.047404,      -0.025523,      -0.012009,      -0.002148,      -0.007846,  48826005.3833
     yieldpoint,         448.86,           0.00,          -0.00,          -0.00,          -0.00,          -0.00,       0.005980,      -0.002684,      -0.001937,      -0.000489,      -0.000127,       0.000038,    808647.5307
