      increment, stress_xx[MPa], stress_yy[MPa], stress_zz[MPa], stress_yz[MPa], stress_xz[MPa], stress_xy[MPa],      strain_xx,      strain_yy,      strain_zz,      strain_yz,      strain_xz,      strain_xy,       Wp[J/m3]
              0,          -0.00,           0.00,           0.00,          -0.00,           0.00,          -0.00,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,         0.0000
              1,          13.34,          -0.00,           0.00,           0.00,           0.00,           0.00,       0.000191,      -0.000067,      -0.000066,      -0.000001,       0.000006,       0.000001,         0.0000
              2,          26.67,          -0.00,          -0.00,           0.00,           0.00,           0.00,       0.000382,      -0.000133,      -0.000132,      -0.000002,       0.000011,       0.000002,         0.0000
              3,          40.01,           0.00,           0.00,          -0.00,          -0.00,          -0.00,       0.000572,      -0.000200,      -0.000197,      -0.000003,       0.000017,       0.000003,         0.0000
              4,          53.36,           0.00,           0.00,          -0.00,          -0.00,           0.00,       0.000763,      -0.000267,      -0.000263,      -0.000004,       0.000023,       0.000004,         0.0011
              5,          66.71,          -0.00,          -0.00,           0.00,           0.00,           0.00,       0.000953,      -0.000333,      -0.000329,      -0.000004,       0.000028,       0.000005,         0.0971
              6,          80.06,          -0.00,          -0.00,           0.00,          -0.00,          -0.00,       0.001143,      -0.000400,      -0.000395,      -0.000005,       0.000034,       0.000005,         3.7645
              7,          93.42,          -0.00,          -0.00,           0.00,          -0.00,          -0.00,       0.001334,      -0.000466,      -0.000461,      -0.000006,       0.000040,       0.000006,        83.0935
              8,         106.78,          -0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.001530,      -0.000536,      -0.000530,      -0.000007,       0.000045,       0.000007,      1167.8625
              9,         120.15,           0.00,          -0.00,           0.00,           0.00,          -0.00,       0.001773,      -0.000630,      -0.000622,      -0.000010,       0.000053,       0.000006,      9983.9262
             10,         133.55,          -0.00,          -0.00,          -0.00,          -0.00,           0.00,       0.002202,      -0.000815,      -0.000807,      -0.000008,       0.000071,      -0.000003,     50103.7107
             11,         147.02,          -0.00,           0.00,           0.00,          -0.00,           0.00,       0.003070,      -0.001222,      -0.001210,      -0.000005,       0.000146,      -0.000025,    168314.9570
             12,         160.68,          -0.00,          -0.00,           0.00,          -0.00,          -0.00,       0.004913,      -0.002117,      -0.002099,      -0.000010,       0.000369,      -0.000071,    473247.7017
             13,         174.67,          -0.00,           0.00,          -0.00,           0.00,          -0.00,       0.008441,      -0.003851,      -0.003828,      -0.000029,       0.000794,      -0.000182,   1127593.7066
             14,         189.16,           0.00,          -0.00,           0.00,           0.00,           0.00,       0.014088,      -0.006651,      -0.006603,      -0.000045,       0.001503,      -0.000388,   2271043.1495
     yieldpoint,         169.58,          -0.00,           0.00,          -0.00,          -0.00,          -0.00,       0.007158,      -0.003221,      -0.003199,      -0.000022,       0.000640,      -0.000142,    889649.0003
