      increment, stress_xx[MPa], stress_yy[MPa], stress_zz[MPa], stress_yz[MPa], stress_xz[MPa], stress_xy[MPa],      strain_xx,      strain_yy,      strain_zz,      strain_yz,      strain_xz,      strain_xy,       Wp[J/m3]
              0,           0.00,           0.00,           0.00,          -0.00,           0.00,           0.00,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,         0.0000
              1,          40.01,          -0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.000355,      -0.000123,      -0.000108,      -0.000005,      -0.000001,      -0.000002,         0.0000
              2,          80.04,          -0.00,          -0.00,          -0.00,          -0.00,          -0.00,       0.000709,      -0.000246,      -0.000216,      -0.000010,      -0.000002,      -0.000004,         0.0000
              3,         120.08,           0.00,           0.00,           0.00,           0.00,           0.00,       0.001063,      -0.000369,      -0.000324,      -0.000016,      -0.000003,      -0.000005,         0.0038
              4,         160.17,          -0.00,          -0.00,          -0.00,           0.00,           0.00,       0.001417,      -0.000492,      -0.000432,      -0.000021,      -0.000003,      -0.000007,         1.1915
              5,         200.23,           0.00,           0.00,           0.00,          -0.00,          -0.00,       0.001769,      -0.000614,      -0.000540,      -0.000026,      -0.000004,      -0.000009,       100.9118
              6,         240.35,          -0.01,          -0.01,          -0.00,           0.00,          -0.00,       0.002131,      -0.000744,      -0.000651,      -0.000034,      -0.000005,      -0.000011,      3014.6040
              7,         280.47,          -0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.002552,      -0.000915,      -0.000779,      -0.000055,      -0.000004,      -0.000012,     27011.5326
              8,         320.69,           0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.003120,      -0.001181,      -0.000960,      -0.000102,      -0.000010,      -0.000015,    104890.0551
              9,         361.00,           0.00,          -0.00,          -0.00,           0.00,           0.00,       0.003864,      -0.001557,      -0.001207,      -0.000189,      -0.000026,      -0.000007,    251536.6015
             10,         401.41,          -0.00,          -0.00,          -0.00,           0.00,           0.00,       0.004748,      -0.002021,      -0.001508,      -0.000312,      -0.000055,       0.000011,    457545.3167
             11,         441.96,          -0.00,          -0.00,          -0.00,          -0.00,          -0.00,       0.005790,      -0.002581,      -0.001870,      -0.000464,      -0.000112,       0.000036,    742315.8295
             12,         482.73,           0.01,          -0.01,           0.00,           0.00,          -0.01,       0.007131,      -0.003329,      -0.002344,      -0.000665,      -0.000212,       0.000063,   1194529.2618
             13,         523.91,           0.00,          -0.00,           0.00,           0.00,          -0.00,       0.009065,      -0.004450,      -0.003038,      -0.000987,      -0.000371,       0.000067,   1999955.3992
             14,         565.77,           0.00,           0.00,          -0.00,           0.00,           0.01,       0.011950,      -0.006177,      -0.004076,      -0.001479,      -0.000646,      -0.000045,   3398213.7167
             15,         608.79,          -0.01,           0.00,          -0.01,          -0.00,           0.00,       0.016368,      -0.008874,      -0.005674,      -0.002191,      -0.001046,      -0.000379,   5812484.5567
             16,         568.13,          26.43,           0.02,           0.00,           0.00,           0.00,       0.016309,      -0.008697,      -0.005835,      -0.002243,      -0.001068,      -0.000400,   6093796.8712
             17,         527.33,          52.87,           0.04,           0.01,           0.00,           0.00,       0.015926,      -0.008344,      -0.005840,      -0.002247,      -0.001066,      -0.000393,   6147420.2778
             18,         486.67,          79.23,          -0.01,           0.00,           0.00,          -0.00,       0.015505,      -0.007980,      -0.005821,      -0.002247,      -0.001064,      -0.000386,   6166228.6983
             19,         445.94,         105.68,           0.01,           0.00,           0.00,          -0.00,       0.015075,      -0.007615,      -0.005795,      -0.002245,      -0.001063,      -0.000380,   6176844.4211
             20,         405.26,         132.16,          -0.02,          -0.00,          -0.00,           0.00,       0.014642,      -0.007249,      -0.005768,      -0.002242,      -0.001061,      -0.000377,   6185169.9419
             21,         364.57,         158.65,           0.01,           0.00,          -0.00,           0.00,       0.014207,      -0.006882,      -0.005739,      -0.002239,      -0.001058,      -0.000376,   6193064.7191
             22,         323.97,         185.15,           0.03,           0.00,          -0.00,          -0.00,       0.013771,      -0.006514,      -0.005713,      -0.002237,      -0.001054,      -0.000376,   6201730.2159
             23,         283.33,         211.71,           0.00,          -0.00,           0.00,          -0.00,       0.013330,      -0.006139,      -0.005688,      -0.002239,      -0.001047,      -0.000378,   6213101.3652
             24,         242.75,         238.28,          -0.00,          -0.00,           0.00,          -0.00,       0.012868,      -0.005740,      -0.005666,      -0.002242,      -0.001042,      -0.000383,   6234459.3253
             25,         202.18,         264.90,           0.00,           0.00,          -0.00,          -0.00,       0.012317,      -0.005250,      -0.005647,      -0.002252,      -0.001055,      -0.000399,   6291838.1017
             26,         161.65,         291.58,          -0.00,           0.00,           0.00,          -0.00,       0.011653,      -0.004639,      -0.005637,      -0.002250,      -0.001069,      -0.000421,   6400161.7124
             27,         121.15,         318.33,          -0.00,           0.00,           0.00,          -0.00,       0.010859,      -0.003888,      -0.005636,      -0.002226,      -0.001048,      -0.000457,   6572841.6085
             28,          80.69,         345.19,           0.00,           0.00,           0.00,           0.00,       0.009913,      -0.002987,      -0.005634,      -0.002195,      -0.000997,      -0.000510,   6823349.3114
             29,          40.30,         372.14,           0.01,           0.00,           0.00,           0.00,       0.008799,      -0.001930,      -0.005619,      -0.002171,      -0.000937,      -0.000576,   7162746.4518
             30,           0.00,         399.24,          -0.00,           0.00,           0.00,          -0.00,       0.007519,      -0.000703,      -0.005609,      -0.002142,      -0.000888,      -0.000637,   7606325.9579
             31,          -0.00,         372.62,          -0.00,          -0.00,           0.00,           0.00,       0.007451,      -0.000784,      -0.005540,      -0.002135,      -0.000889,      -0.000646,   7691992.5345
             32,           0.00,         345.97,          -0.00,           0.00,           0.00,          -0.00,       0.007494,      -0.000981,      -0.005466,      -0.002132,      -0.000893,      -0.000650,   7715210.4639
