      increment, stress_xx[MPa], stress_yy[MPa], stress_zz[MPa], stress_yz[MPa], stress_xz[MPa], stress_xy[MPa],      strain_xx,      strain_yy,      strain_zz,      strain_yz,      strain_xz,      strain_xy,       Wp[J/m3]
              0,           0.00,          -0.00,           0.00,           0.00,           0.00,           0.00,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,         0.0000
              1,          80.02,           0.00,           0.00,          -0.00,           0.00,           0.00,       0.000376,      -0.000118,      -0.000100,      -0.000014,       0.000024,      -0.000031,         0.0000
              2,         160.07,           0.00,           0.00,           0.00,           0.00,           0.00,       0.000751,      -0.000236,      -0.000199,      -0.000028,       0.000049,      -0.000061,         0.0000
              3,         240.15,          -0.00,          -0.01,          -0.00,           0.00,          -0.00,       0.001126,      -0.000354,      -0.000299,      -0.000043,       0.000073,      -0.000092,         0.0004
              4,         320.28,          -0.00,          -0.01,          -0.00,          -0.01,           0.00,       0.001500,      -0.000472,      -0.000399,      -0.000057,       0.000098,      -0.000122,         0.1365
              5,         400.43,           0.00,           0.01,           0.00,           0.00,          -0.00,       0.001874,      -0.000589,      -0.000498,      -0.000071,       0.000122,      -0.000153,        11.7719
              6,         480.62,          -0.03,          -0.03,          -0.01,           0.00,          -0.01,       0.002247,      -0.000707,      -0.000598,      -0.000085,       0.000146,      -0.000183,       417.1250
              7,         560.87,           0.02,           0.03,           0.01,           0.00,           0.00,       0.002626,      -0.000828,      -0.000700,      -0.000100,       0.000171,      -0.000214,      5432.7519
              8,         641.12,          -0.03,          -0.01,           0.01,           0.01,          -0.01,       0.003025,      -0.000961,      -0.000812,      -0.000117,       0.000196,      -0.000249,     30154.3308
              9,         721.47,          -0.00,           0.01,          -0.00,           0.01,          -0.01,       0.003462,      -0.001115,      -0.000940,      -0.000140,       0.000223,      -0.000288,     94514.8388
             10,         801.90,          -0.01,           0.01,          -0.00,           0.01,          -0.01,       0.003940,      -0.001293,      -0.001087,      -0.000167,       0.000253,      -0.000333,    209583.5362
             11,         882.41,          -0.01,           0.01,          -0.00,           0.01,          -0.01,       0.004458,      -0.001494,      -0.001250,      -0.000200,       0.000286,      -0.000382,    379907.6146
             12,         963.02,          -0.01,           0.01,          -0.00,           0.01,          -0.01,       0.005016,      -0.001718,      -0.001430,      -0.000237,       0.000322,      -0.000435,    612418.7025
             13,        1043.74,          -0.01,           0.01,          -0.00,           0.01,          -0.01,       0.005619,      -0.001968,      -0.001630,      -0.000280,       0.000359,      -0.000494,    920829.3885
             14,        1124.60,          -0.02,           0.02,          -0.01,           0.01,          -0.01,       0.006278,      -0.002251,      -0.001854,      -0.000330,       0.000400,      -0.000559,   1327591.0347
     yieldpoint,        1035.58,          -0.01,           0.01,          -0.00,           0.01,          -0.01,       0.005558,      -0.001943,      -0.001609,      -0.000276,       0.000356,      -0.000488,    889648.9997
