      increment, stress_xx[MPa], stress_yy[MPa], stress_zz[MPa], stress_yz[MPa], stress_xz[MPa], stress_xy[MPa],      strain_xx,      strain_yy,      strain_zz,      strain_yz,      strain_xz,      strain_xy,       Wp[J/m3]
              0,           0.00,           0.00,           0.00,          -0.00,           0.00,           0.00,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,         0.0000
              1,          36.67,          -0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.000325,      -0.000113,      -0.000099,      -0.000005,      -0.000001,      -0.000002,         0.0000
              2,          73.36,          -0.00,          -0.00,          -0.00,          -0.00,          -0.00,       0.000650,      -0.000225,      -0.000198,      -0.000010,      -0.000002,      -0.000003,         0.0000
              3,         110.07,           0.00,           0.00,           0.00,           0.00,           0.00,       0.000975,      -0.000338,      -0.000297,      -0.000014,      -0.000002,      -0.000005,         0.0007
              4,         146.81,          -0.00,          -0.00,          -0.00,           0.00,           0.00,       0.001299,      -0.000451,      -0.000396,      -0.000019,      -0.000003,      -0.000007,         0.2096
              5,         183.53,           0.00,           0.00,          -0.00,          -0.00,          -0.00,       0.001622,      -0.000563,      -0.000495,      -0.000024,      -0.000004,      -0.000008,        18.0436
              6,         220.26,          -0.00,           0.00,           0.00,           0.00,          -0.00,       0.001947,      -0.000677,      -0.000595,      -0.000029,      -0.000005,      -0.000010,       643.9209
              7,         257.05,           0.00,           0.00,          -0.00,          -0.00,           0.00,       0.002294,      -0.000807,      -0.000700,      -0.000041,      -0.000004,      -0.000011,      8677.8331
              8,         293.87,           0.00,          -0.00,          -0.00,           0.00,          -0.00,       0.002724,      -0.000993,      -0.000833,      -0.000067,      -0.000005,      -0.000013,     46346.7286
              9,         330.76,           0.00,          -0.00,          -0.00,           0.00,           0.00,       0.003297,      -0.001270,      -0.001018,      -0.000122,      -0.000014,      -0.000014,    137794.2516
             10,         367.73,           0.00,          -0.00,          -0.00,           0.00,           0.00,       0.004015,      -0.001637,      -0.001258,      -0.000210,      -0.000030,      -0.000005,    286350.8217
             11,         404.79,          -0.00,           0.00,          -0.01,           0.00,           0.00,       0.004845,      -0.002074,      -0.001542,      -0.000327,      -0.000059,       0.000014,    484457.9388
             12,         441.97,           0.00,          -0.00,           0.00,          -0.00,          -0.00,       0.005815,      -0.002597,      -0.001879,      -0.000469,      -0.000114,       0.000037,    752573.4347
             13,         479.34,           0.00,          -0.01,           0.00,           0.00,          -0.00,       0.007038,      -0.003278,      -0.002312,      -0.000652,      -0.000206,       0.000062,   1163849.9528
             14,         517.04,           0.00,           0.01,          -0.01,          -0.00,           0.00,       0.008749,      -0.004267,      -0.002925,      -0.000935,      -0.000346,       0.000071,   1864360.6798
             15,         555.28,           0.00,          -0.00,          -0.00,          -0.00,          -0.00,       0.011218,      -0.005738,      -0.003813,      -0.001359,      -0.000573,      -0.000002,   3033230.5373
     yieldpoint,         446.40,           0.00,          -0.00,           0.00,          -0.00,          -0.00,       0.005960,      -0.002678,      -0.001930,      -0.000491,      -0.000125,       0.000040,    801324.3822
