      increment, stress_xx[MPa], stress_yy[MPa], stress_zz[MPa], stress_yz[MPa], stress_xz[MPa], stress_xy[MPa],      strain_xx,      strain_yy,      strain_zz,      strain_yz,      strain_xz,      strain_xy,       Wp[J/m3]
              0,           0.00,           0.00,           0.00,          -0.00,           0.00,           0.00,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,       0.000000,         0.0000
              1,           0.01,          -0.00,           0.00,          -0.00,           0.00,          16.67,      -0.000001,       0.000001,      -0.000000,      -0.000001,       0.000002,       0.000397,         0.0000
              2,           0.03,          -0.00,           0.00,          -0.00,           0.00,          33.33,      -0.000002,       0.000001,      -0.000000,      -0.000002,       0.000004,       0.000793,         0.0000
              3,           0.06,          -0.00,          -0.00,           0.00,          -0.00,          50.00,      -0.000002,       0.000002,      -0.000000,      -0.000003,       0.000006,       0.001190,         0.0000
              4,           0.11,           0.00,           0.00,          -0.00,          -0.00,          66.67,      -0.000003,       0.000002,      -0.000000,      -0.000004,       0.000009,       0.001586,         0.0051
              5,           0.17,           0.00,           0.00,          -0.00,           0.00,          83.33,      -0.000004,       0.000002,      -0.000000,      -0.000005,       0.000011,       0.001983,         0.4489
              6,           0.24,           0.00,          -0.00,           0.00,          -0.00,         100.00,      -0.000005,       0.000002,       0.000000,      -0.000006,       0.000013,       0.002379,        17.4300
              7,           0.32,          -0.00,          -0.00,          -0.00,          -0.00,         116.67,      -0.000006,       0.000001,       0.000000,      -0.000007,       0.000015,       0.002778,       374.9391
              8,           0.43,           0.00,           0.00,          -0.00,           0.00,         133.33,      -0.000006,      -0.000000,       0.000000,      -0.000008,       0.000019,       0.003196,      4269.5190
              9,           0.55,          -0.00,           0.00,           0.00,           0.00,         150.00,      -0.000005,      -0.000003,      -0.000000,      -0.000012,       0.000028,       0.003687,     21869.9429
             10,           0.72,           0.00,          -0.00,           0.00,          -0.00,         166.67,      -0.000007,      -0.000007,       0.000004,      -0.000017,       0.000048,       0.004301,     63676.5862
             11,           0.93,           0.00,          -0.00,           0.00,          -0.00,         183.33,      -0.000019,      -0.000013,       0.000021,      -0.000021,       0.000086,       0.005056,    135176.8428
             12,           1.19,          -0.00,          -0.00,           0.00,           0.00,         200.00,      -0.000040,      -0.000024,       0.000051,      -0.000035,       0.000143,       0.005953,    238965.2464
             13,           1.52,          -0.00,           0.00,           0.00,           0.00,         216.67,      -0.000069,      -0.000039,       0.000092,      -0.000074,       0.000228,       0.007027,    388476.5358
             14,           1.95,           0.00,           0.00,          -0.00,           0.00,         233.33,      -0.000103,      -0.000055,       0.000139,      -0.000141,       0.000349,       0.008349,    605856.8459
             15,           2.50,          -0.00,          -0.00,          -0.00,           0.00,         249.99,      -0.000136,      -0.000073,       0.000186,      -0.000229,       0.000505,       0.009992,    916620.9246
     yieldpoint,           2.48,          -0.00,          -0.00,          -0.00,           0.00,         249.42,      -0.000134,      -0.000072,       0.000185,      -0.000226,       0.000500,       0.009934,    905813.9392
