field_name,unit,stress_xx,stress_yy,stress_zz,stress_xy,stress_xz,stress_yz
shear_xy_xz_q0_0,Pa,1572284.1617263868,-8.464911207679734,-772.2085289751803,218878586.68886575,92.0912076128468,31.349108065902637
shear_xy_xz_q0_1,Pa,1607743.0845612944,-1447.515700601715,783.180055898353,158552704.9666546,158592871.3326346,-530.2456617537066
shear_xy_xz_q1_0,Pa,2014792.3763893966,1674.2749308010953,-858.2285202947594,24532.182759548905,263203681.4189973,-2184.912274465873
shear_xy_xz_q1_1,Pa,2029057.4917994353,232.5708534645176,1932.7553509169015,-184153966.25120077,184194649.72175944,-687.1968867500439
shear_xy_yz_q0_0,Pa,-1908.4488536256595,2143430.4645314706,1976.9920019486099,1370.4128717174804,1089.2912499748668,275300637.8092923
shear_xy_yz_q0_1,Pa,1063247.221348722,910346.3797922326,1185.3848883476671,183157854.64079097,312.63887587790384,183203504.1196377
shear_xy_yz_q1_1,Pa,972789.1761609053,833393.2827004449,1475.8803463889144,172569627.12559968,67.61944883824222,-172572935.74494278
shear_xz_yz_q0_1,Pa,1055407.7579849856,997520.9932001592,538.8067152021092,998004.3881888337,188864762.57162032,188863521.33375624
shear_xz_yz_q1_1,Pa,1037597.0605899404,1027663.5484581244,539.8587604150796,-1026818.5753791014,-190142781.23395765,190140795.62375277
tensile_x_y_q0_0,Pa,390971296.35393846,-142.00623611121205,-1023.244095473398,739.2306327731925,1951.4358696709248,-4417.703849075844
tensile_x_y_q0_1,Pa,471267280.8690217,471222122.4010225,-454.00779643730016,863.9400880533575,-945.7124581996254,-456.15063580957303
tensile_x_y_q1_0,Pa,997.6376928885243,423085105.2272208,101.04197917045349,-1692.73111171405,-855.1442165805556,3720.492186388724
tensile_x_y_q1_1,Pa,-226319740.9407297,227992503.2794163,3250.1336359766933,-795.7527295202219,446.3927335536907,2257.296701004961
tensile_x_z_q0_0,Pa,1090.8198357471822,-1571.8156500684818,474666807.9332486,1361.4141657415623,979.4746840340231,426.10133460234147
tensile_x_z_q0_1,Pa,422614219.1939356,-932.097671299573,422354453.1571288,1512.485419497064,-467.6486243999534,-1495.026049237813
tensile_x_z_q1_1,Pa,262653870.52144498,577.8882134444016,-260658170.30839717,-335.70805688895626,1851.3536238173701,-162.73195148336393
tensile_y_z_q0_1,Pa,-813.9706112197175,389588821.23491406,389408329.5384136,-871.2685253554954,-1036.6952930292962,3856.377040411306
tensile_y_z_q1_1,Pa,-2554.132234332299,-275079303.0985538,277241337.0053362,-1009.5454040913801,872.2131768516723,950.8554607563768
